"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000027","Torbay","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","143.5221","123.5839","165.7606","113.1005","179.2266","185","12890","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000011","East Sussex","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","141.1065","131.3371","151.8097","125.8464","158.025","745","52797","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000024","Sunderland","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","138.7846","125.5907","152.2859","118.6029","160.525","425","30623","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000049","Cheshire East","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","137.0368","125.5099","149.3378","119.2124","156.6444","520","37946","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000030","Walsall","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","136.3197","124.7688","149.9048","118.1583","157.6383","465","34111","","Increasing and getting worse","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000023","South Tyneside","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","135.582","116.4236","154.0539","107.0045","166.0146","205","15120","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000066","Somerset UA","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","133.4217","124.1843","143.542","118.9926","149.4187","745","55838","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000059","Dorset","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","133.263","120.7389","145.4767","114.2425","153.0951","455","34143","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000003","Redcar and Cleveland","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","131.6445","112.036","150.5168","102.4793","162.8094","185","14053","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000030","Swindon","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","131.547","118.0148","147.0819","110.5119","156.1372","325","24706","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000046","Isle of Wight","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","128.6521","110.7244","152.3659","100.5104","165.7734","155","12048","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000012","North East Lincolnshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","128.3776","111.5998","146.9654","102.7256","158.1884","210","16358","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000032","West Sussex","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","127.9095","120.7336","135.8797","116.6164","140.4353","1,115","87171","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000005","Darlington","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","127.7533","106.9955","149.3696","96.6793","163.0773","145","11350","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000064","Westmorland and Furness","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","124.6883","110.6914","140.9725","102.9613","150.4751","270","21654","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000037","Gateshead","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","123.4051","108.1173","138.2056","100.451","147.6595","265","21474","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000001","Hartlepool","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","123.2652","101.6769","143.9199","91.4663","157.6467","135","10952","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000060","Buckinghamshire UA","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","120.5324","112.0418","130.2339","107.1765","135.7675","690","57246","","Cannot be calculated","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000013","North Lincolnshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","118.8001","104.0103","137.7255","95.5742","148.4442","200","16835","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000023","Bristol","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","118.3815","111.2889","126.0543","107.2881","130.5054","1,005","84895","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000025","South Gloucestershire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","118.2399","106.9325","129.8124","100.947","136.8767","420","35521","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000054","Wiltshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","118.1324","108.9424","127.8904","103.9003","133.6738","610","51637","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000002","Middlesbrough","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","117.8319","102.9367","134.2765","95.0342","144.1906","225","19095","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000010","Kingston upon Hull","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","114.1124","103.4095","126.2433","97.4531","133.3069","395","34615","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000009","Blackpool","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","113.077","97.3318","132.1267","88.7368","143.2799","170","15034","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000019","Herefordshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","112.9845","98.7591","131.2444","90.6459","141.5844","195","17259","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000011","East Riding of Yorkshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","111.6071","100.5215","124.27","94.366","131.6481","350","31360","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000014","Sefton","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","110.5543","98.3963","123.7993","91.8709","131.7386","300","27136","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000014","Hampshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","109.3723","104.003","114.9468","101.0009","118.2175","1,555","142175","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000050","Cheshire West and Chester","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","107.6552","97.7922","118.8002","92.2983","125.2882","415","38549","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000008","Devon","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","105.9584","99.2353","112.5659","95.626","116.5865","985","92961","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000034","Thurrock","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","105.7184","92.6575","121.1624","85.4788","130.187","220","20810","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000058","Bournemouth, Christchurch and Poole","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","104.9463","96.011","114.0672","91.2352","119.6011","530","50502","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000062","West Northamptonshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","104.2226","94.9347","113.2912","90.0905","118.9258","505","48454","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000021","Newcastle upon Tyne","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","103.7245","95.7492","111.8486","91.4544","116.7541","650","62666","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000007","Warrington","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","103.073","90.2018","118.3221","83.1314","127.2343","215","20859","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000010","Wigan","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","102.1694","91.4241","112.6193","85.9205","119.1961","365","35725","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000016","Kent","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","102.1065","97.4285","107.0722","94.7756","109.9486","1,745","170900","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000004","Stockton-on-Tees","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","100.6601","87.2164","114.5534","80.3476","123.221","215","21359","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000056","Central Bedfordshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","99.2965","88.922","112.0105","82.9948","119.2292","295","29709","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000031","Warwickshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","98.2898","91.1686","106.4592","87.0887","111.1177","650","66131","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000015","Wirral","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","97.9372","87.7884","109.6004","82.1632","116.3995","320","32674","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000035","Medway","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","97.5293","87.6399","109.57","81.9884","116.4092","315","32298","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000028","Staffordshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","97.5077","91.3781","104.1651","87.9245","108.0284","910","93326","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000065","North Yorkshire UA","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","97.3873","89.9439","105.9951","85.681","110.9008","580","59556","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000045","Southampton","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","96.7139","88.1428","106.3587","83.3626","111.9715","445","46012","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000025","Oxfordshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","95.1411","89.1761","101.6183","85.815","105.3769","915","96173","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000022","Bath and North East Somerset","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","94.167","85.1277","105.0486","79.9595","111.2338","355","37699","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000036","Bracknell Forest","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","91.8173","75.7567","108.598","67.8709","119.3136","125","13614","","Cannot be calculated","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000029","Solihull","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","91.5711","78.7906","103.8986","72.4947","111.87","210","22933","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E09000016","Havering","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","91.0559","80.4214","102.7053","74.7409","109.7048","265","29103","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E09000009","Ealing","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","90.9243","82.3802","99.6651","77.8504","104.9957","435","47842","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000032","Luton","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","89.8646","79.0414","100.3515","73.5926","107.0319","280","31158","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000043","Brighton and Hove","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","89.4175","81.1645","98.2822","76.6806","103.5629","430","48089","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000034","Kirklees","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","89.3422","81.3495","97.5097","77.0944","102.4776","480","53726","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000042","Milton Keynes","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","89.154","79.4766","100.3534","74.1237","106.8859","290","32528","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000018","Rotherham","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","88.9649","78.4784","100.4624","72.8811","107.3732","260","29225","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000029","Suffolk","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","88.8134","82.1613","95.5863","78.5725","99.6712","685","77128","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000030","Surrey","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","88.6525","83.6162","93.6108","80.8922","96.6113","1,225","138180","","Cannot be calculated","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000007","Derbyshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","88.5299","82.2722","95.6834","78.6865","99.7636","685","77375","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000061","North Northamptonshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","88.172","79.2931","98.3337","74.3658","104.2554","340","38561","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000007","Stockport","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","87.1536","76.0297","97.9134","70.4751","104.8065","250","28685","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000008","Tameside","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","84.9064","73.9352","97.0466","68.1261","104.3729","215","25322","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E09000015","Harrow","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","84.8699","74.4591","95.5984","69.085","102.2502","255","30046","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000005","Rochdale","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","84.0981","73.5795","95.6983","67.9937","102.6885","230","27349","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000013","Gloucestershire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","84.0787","77.6525","91.5102","73.9721","95.7455","580","68983","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000017","Lancashire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","83.9891","79.4591","88.7101","76.9342","91.4847","1,285","152996","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000002","Bury","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","83.8965","72.9512","98.0885","66.711","106.1207","180","21455","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000008","Blackburn with Darwen","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","83.8444","71.4377","96.7146","65.1851","104.8097","175","20872","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000015","Hertfordshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","83.5196","78.7622","88.8125","76.0328","91.8374","1,080","129311","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000015","Derby","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","82.9957","74.059","93.3252","69.114","99.3497","295","35544","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000047","County Durham","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","82.9475","76.3052","90.0131","72.6665","94.204","575","69321","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E09000002","Barking and Dagenham","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","82.4076","72.5078","93.2816","67.2321","99.8229","250","30337","","No significant change","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E10000019","Lincolnshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","82.1546","76.1381","88.5201","72.8271","92.2867","690","83988","","Decreasing and getting better","Better","Better","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E09000018","Hounslow","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","81.5546","72.1721","91.2046","67.2941","97.1617","290","35559","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000037","West Berkshire","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","80.6066","67.0359","94.7609","60.3298","103.7663","135","16748","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000020","Telford and Wrekin","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","80.3823","69.4814","93.5008","63.5212","101.1779","180","22393","","Decreasing and getting better","Similar","Similar","20230000","","","1y"
